"noc_title","2.C.3.a - Comp and Elec","2.C.3.b - Eng and Tech","2.C.9.a - Telco","2.B.3.b - Tech Design","2.B.3.e - Programming","4.A.3.b.1 - Inter w Comp","Rank - Tech Design","Rank - Programming","Rank - Comp and Elec","Rank - Inter w Comp","Rank - Eng and Tech","Rank - Telco","harm.rank","harm.rank.digital","harm.rank.no.tel","tech","digital","tech.no.tel","noc_code","noc_name"
"0125 Other business services managers",12.9683555555556,5.04733333333333,4.28566666666667,2.1175,1.92284444444444,12.6807333333333,123,82,125,200,205,88,122.163104954634,110.510119807355,132.000270881082,0,NA,NA,"0125"," Other business services managers"
"0131 Telecommunication carriers managers",19.64,15.91,29.1732,7.205,5.5544,18.8307,7.5,20,26,49,37,1,8.01475855857669,6.61533076653833,20.1110991049874,1,"Digital",1,"0131"," Telecommunication carriers managers"
"0132 Postal and courier services managers",15.8865,5.0167,4.2588,2.1056,1.54,15.7014,133.5,109.5,58.5,108.5,208.5,89.5,103.009854871719,86.8835390130209,105.938643957271,0,NA,NA,"0132"," Postal and courier services managers"
"0211 Engineering managers",19.866,29.707,8.1842,3.0456,2.76,17.9112,61.5,61,25,64,2,29,13.2555130800886,38.7189751801441,11.9243940159071,1,"High-Tech",1,"0211"," Engineering managers"
"0212 Architecture and science managers",15.5262,17.629325,4.9203,5.47875,2.91,15.7516,24,56,66,105,30,72,46.9263661500432,71.9400844616286,43.7976947618445,0,NA,NA,"0212"," Architecture and science managers"
"0213 Computer and information systems managers",23.5956,12.0267,7.884,3.8325,4.2075,25.4198,44,35,10,7,61,32,19.209764494171,14.5990783410138,17.72809981804,1,"Digital",1,"0213"," Computer and information systems managers"
"0311 Managers in health care",17.5529,3.31695,2.0882,2.34375,5.775,19.504,109.5,19,43,40,278,278,52.9400479911534,39.721257655155,45.557455698132,0,NA,NA,"0311"," Managers in health care"
"0414 Other managers in public administration",11.82,6.3096,2.5807,0.69,0.69,13.1544,387,276.5,159,189,177,224,216.165559017054,204.486370201291,214.481272665665,0,NA,NA,"0414"," Other managers in public administration"
"0421 Administrators - post-secondary education and vocational training",13.2986,2.5058,3.1164,1.215,0.69,11.716,289.5,276.5,111,218,323,168,203.084821985632,173.79558153445,211.620992220248,0,NA,NA,"0421"," Administrators - post-secondary education and vocational training"
"0422 School principals and administrators of elementary and secondary education",10.6088,4.0474,2.48235,1.26375,1.113125,12.042825,278.5,170,206,211,242,233,219.279007687199,203.362016481944,216.554311655419,0,NA,NA,"0422"," School principals and administrators of elementary and secondary education"
"0423 Managers in social, community and correctional services",11.05625,1.145075,3.4435,1.5225,1.42625,15.5856,228,116,178,113,404,140,162.894407031413,133.343426844474,168.115380900456,0,NA,NA,"0423"," Managers in social, community and correctional services"
"0431 Commissioned police officers",11.742,2.5258,9.7933,1.54,1.75,17.5924,217,92.5,163,73.5,321,22,73.7222335057043,54.2786298290611,131.897191136975,0,NA,NA,"0431"," Commissioned police officers"
"0432 Fire chiefs and senior firefighting officers",7.9443,8.0282,9.7965,1.54,1.3125,9.715,217,135.5,300,260,132,21,83.2868517544912,66.7398251485747,188.071476038068,0,NA,NA,"0432"," Fire chiefs and senior firefighting officers"
"0512 Managers - publishing, motion pictures, broadcasting and performing arts",17.9267,5.5404,15.1956,0.93,0.5244,19.7316,345.5,301.5,39,33,196,5,25.8235160683831,17.8265658006391,76.1270284763671,0,NA,NA,"0512"," Managers - publishing, motion pictures, broadcasting and performing arts"
"0513 Recreation, sports and fitness program and service directors",7.332,1.066,2.2729,0,0.1344,7.9376,475,394,316,317,416,263,350.514903054994,316.988543460358,375.099523438524,0,NA,NA,"0513"," Recreation, sports and fitness program and service directors"
"0601 Corporate sales managers",12.5532,4.26,5.3508,1.54,1.4256,15.2439,217,120,142,130,234,65,127.972568542959,105.145359838418,157.562035309602,0,NA,NA,"0601"," Corporate sales managers"
"0621 Retail and wholesale trade managers",13.32,5.5902,5.825,2.1056,0.93,15.1475,133.5,217.5,109,131,195,57,117.597045330126,103.937395345658,148.015216187658,0,NA,NA,"0621"," Retail and wholesale trade managers"
"0631 Restaurant and food service managers",7.998,2.1209,2.8476,0.5244,0.93,10.6134,406,217.5,297,238,339,200,266.787996381251,234.033249289935,285.475414847865,0,NA,NA,"0631"," Restaurant and food service managers"
"0632 Accommodation service managers",19.639,5.1863,7.4088,1.88,1.4256,17.5924,158.5,120,27,73.5,202,37,63.215748698277,47.7798171535888,72.8892000163309,0,NA,NA,"0632"," Accommodation service managers"
"0651 Managers in customer and personal services, n.e.c.",8.1469,1.1097,3.8318,2.5944,1.125,14.9455,91,162.5,289,144,407,109,154.350800869857,156.543858332708,167.889004124718,0,NA,NA,"0651"," Managers in customer and personal services, n.e.c."
"0711 Construction managers",12.8544,19.0688,4.9392,2.35,0.93,14.952,106,217.5,131.5,142.5,24.5,70.5,73.4934174464181,120.924526223718,73.9055140649455,0,NA,NA,"0711"," Construction managers"
"0712 Home building and renovation managers",12.8544,19.0688,4.9392,2.35,0.93,14.952,106,217.5,131.5,142.5,24.5,70.5,73.4934174464181,120.924526223718,73.9055140649455,0,NA,NA,"0712"," Home building and renovation managers"
"0714 Facility operation and maintenance managers",11.072,4.4928,3.8775,0.3125,0.75,16.872,439.5,256,176.5,85.5,228.5,105.5,161.713453490414,131.254186500498,180.420786241281,0,NA,NA,"0714"," Facility operation and maintenance managers"
"0731 Managers in transportation",11.817,5.03685,5.8179,1.19039375,0.91875,15.4901125,296,226,160,119,207,58,136.135769780554,111.423864454907,184.335225864346,0,NA,NA,"0731"," Managers in transportation"
"0821 Managers in agriculture",10.108,11.6314,3.1557,1.75,0.93,6.2832,178.5,217.5,219,359,65,166,155.398299529849,223.614654348124,153.268744954521,0,NA,NA,"0821"," Managers in agriculture"
"0822 Managers in horticulture",4.8412,7.4513,0.621,1.4256,0.75,8.5624,237.5,256,376,301,148,448,261.025252466306,331.071007939501,240.858106883718,0,NA,NA,"0822"," Managers in horticulture"
"0823 Managers in aquaculture",11.7425,11.02,3.7125,2.35,1.88,12.2475,106,84.5,162,207,85,121,115.810015087472,129.721500294223,114.64663648077,0,NA,NA,"0823"," Managers in aquaculture"
"0911 Manufacturing managers",10.9926,10.01775,3.6946,1.855,1.575475,14.406,168.5,105,179,156,96,123,131.485396473069,135.945939219685,133.092248485008,0,NA,NA,"0911"," Manufacturing managers"
"0912 Utilities managers",14.273712,17.02368,5.321088,2.775684,2.801196,13.938012,81,60,91,167,32,66,66.1967329837872,83.0896695416095,66.0383853516769,0,NA,NA,"0912"," Utilities managers"
"1111 Financial auditors and accountants",12.103875,0.4879,1.674,1.63625,1.63,19.402425,199,100,155,41,460,339,119.447806678301,92.8894371535157,105.730670616093,0,NA,NA,"1111"," Financial auditors and accountants"
"1112 Financial and investment analysts",18.7308,3.434,3.248,1.0044,2.1056,19.6425,330,76.5,32,35,273,155,71.3732797635575,51.683399183885,64.3875060908954,0,NA,NA,"1112"," Financial and investment analysts"
"1113 Securities agents, investment dealers and brokers",14.98485,2.5515,3.363675,1.1097,2.26875,18.965125,312,71,77,48,319,148,99.752509784417,74.3094225138846,93.5673334884812,0,NA,NA,"1113"," Securities agents, investment dealers and brokers"
"1114 Other financial officers",20.44,6.95975,1.98,1.2225,3.9375,22.20765,283,37,21,14,163,290,39.6060216220504,28.1941450524998,33.7710764280015,0,NA,NA,"1114"," Other financial officers"
"1121 Human resources professionals",10.749912,1.157056,1.853488,1.463076,1.525104,14.817528,233,114,199,149,401,304,197.354957888681,169.197527762424,184.34277079054,0,NA,NA,"1121"," Human resources professionals"
"1122 Professional occupations in business management consulting",12.30238125,7.07135,3.886975,1.977425,2.92324375,15.9954,148,55,151,99,158,104,105.335937041203,90.9920182440137,105.403382565911,0,NA,NA,"1122"," Professional occupations in business management consulting"
"1123 Professional occupations in advertising, marketing and public relations",15.9558,2.9733,4.0515,3.453125,3.135475,17.9922,51,49,57,62,298,100,70.1011263859945,63.4765618281327,66.0592335008819,0,NA,NA,"1123"," Professional occupations in advertising, marketing and public relations"
"1213 Supervisors, library, correspondence and related information workers",15.54,1.6218,2.1875,0.75,2.35,16.498,371,69,64.5,92.5,368.5,268.5,121.572703019854,90.9946006796056,109.546761417335,0,NA,NA,"1213"," Supervisors, library, correspondence and related information workers"
"1214 Supervisors, mail and message distribution occupations",15.8865,5.0167,4.2588,2.1056,1.54,15.7014,133.5,109.5,58.5,108.5,208.5,89.5,103.009854871719,86.8835390130209,105.938643957271,0,NA,NA,"1214"," Supervisors, mail and message distribution occupations"
"1215 Supervisors, supply chain, tracking and scheduling co-ordination occupations",9.177,6.409,4.815,1.0044,1.215,14.6289,330,148.5,247,151,174,74,152.404424684689,130.575994968084,192.044721082309,0,NA,NA,"1215"," Supervisors, supply chain, tracking and scheduling co-ordination occupations"
"1221 Administrative officers",14.432,0.852,2.4486,0.5244,0.93,14.4855,406,217.5,85.5,152.5,433.5,240.5,190.166515836829,149.293854565504,182.411788979079,0,NA,NA,"1221"," Administrative officers"
"1222 Executive assistants",12.54,0.3808,2.3326,1.3125,2.35,16.0083,262.5,69,143,98,471,255,145.804018023846,113.515692484883,134.246642552679,0,NA,NA,"1222"," Executive assistants"
"1223 Human resources and recruitment officers",12.3424,1.092,2.7606,0.93,1.4256,15.295,345.5,120,148,128,412,209,182.943420539024,145.508966060289,178.347725856806,0,NA,NA,"1223"," Human resources and recruitment officers"
"1224 Property administrators",11.072,4.4928,3.8775,0.3125,0.75,16.872,439.5,256,176.5,85.5,228.5,105.5,161.713453490414,131.254186500498,180.420786241281,0,NA,NA,"1224"," Property administrators"
"1225 Purchasing agents and officers",14.3175,9.24,4.6,0.1344,0.3125,16.985,461.5,344.5,90,81,106,81,120.526538377772,104.510651235381,133.026678457963,0,NA,NA,"1225"," Purchasing agents and officers"
"1226 Conference and event planners",13.203,2.7648,6.1258,1.3125,0.5244,16.5239,262.5,301.5,115,90,308,51,122.006848268643,94.9076021132255,166.962757661394,0,NA,NA,"1226"," Conference and event planners"
"1227 Court officers and justices of the peace",11.4558,1.0425,2.9253,0.75,1.62,12.9465,371,101.5,166,192,417,188,191.711723878606,152.575819576929,192.26343323616,0,NA,NA,"1227"," Court officers and justices of the peace"
"1228 Employment insurance, immigration, border services and revenue officers",13.132,0.7638,2.4805,0.75,1.4256,16.039,371,120,117.5,96.5,439.5,234.5,165.909493825096,128.180576149225,156.651364124531,0,NA,NA,"1228"," Employment insurance, immigration, border services and revenue officers"
"1241 Administrative assistants",14.432,0.852,2.4486,0.5244,0.93,14.4855,406,217.5,85.5,152.5,433.5,240.5,190.166515836829,149.293854565504,182.411788979079,0,NA,NA,"1241"," Administrative assistants"
"1242 Legal administrative assistants",15.66,0.2622,1.183,1.3125,0.93,18.3112,262.5,217.5,61.5,54.5,475.5,398.5,127.682643547653,97.3287966542259,112.388899578662,0,NA,NA,"1242"," Legal administrative assistants"
"1243 Medical administrative assistants",12.8554,1.0725,2.4644,0.5244,0.75,18.357,406,256,130,52,414,237,152.049303090925,115.626173234566,141.806945296958,0,NA,NA,"1243"," Medical administrative assistants"
"1251 Court reporters, medical transcriptionists and related occupations",16.6257,0.5808,1.122,0,0.3875,18.333975,475,323.5,49,53,453,402,124.005230805153,90.740865191439,108.92376191428,0,NA,NA,"1251"," Court reporters, medical transcriptionists and related occupations"
"1252 Health information management occupations",9.8595,0.7072,2.5986,1.3125,0.5244,17.4,262.5,301.5,227,78,444.5,223,194.464257772575,161.197610563793,189.467765728848,0,NA,NA,"1252"," Health information management occupations"
"1253 Records management technicians",14.1936666666667,3.84025555555556,4.53946666666667,1.93916666666667,2.23611111111111,15.6191,150,72,92,112,246,82,107.104284004548,88.2046781397984,113.708787390253,0,NA,NA,"1253"," Records management technicians"
"1254 Statistical officers and related research support occupations",21.5538666666667,4.6648,2.52994444444445,2.92,10.0117333333333,20.482,71,8,15,22,218,230,25.0131866138638,18.0653479023146,21.2274140020018,0,NA,1,"1254"," Statistical officers and related research support occupations"
"1311 Accounting technicians and bookkeepers",12.2679,0.11,1.608,0.1344,0.5244,17.617,461.5,301.5,152.5,71.5,481.5,346.5,195.274707372897,150.993284439357,179.544511249425,0,NA,NA,"1311"," Accounting technicians and bookkeepers"
"1312 Insurance adjusters and claims examiners",6.86,1.802,2.3986,0.93,1.96,13.6045,345.5,81,334,175,357,249,196.455203335499,160.888006809934,188.385550537069,0,NA,NA,"1312"," Insurance adjusters and claims examiners"
"1313 Insurance underwriters",8.544,0.871,1.314,1.0044,1.125,12.6567,330,162.5,273,201,432,380,264.64796945911,230.667072495916,249.414438555119,0,NA,NA,"1313"," Insurance underwriters"
"1314 Assessors, valuators and appraisers",15.045075,1.9845,2.536875,0.3125,0.98595,15.123,439.5,203,76,134,345,229,172.391361243849,134.933613307632,164.167478658174,0,NA,NA,"1314"," Assessors, valuators and appraisers"
"1315 Customs, ship and other brokers",15.3525,1.92,6.11,1.54,2.5944,19.7574,217,63,71,32,351,52,69.6759647931137,50.8357113121144,74.3549880493529,0,NA,NA,"1315"," Customs, ship and other brokers"
"1411 General office support workers",8.959,0.9486,1.7745,0.5244,0.475,12.1975,406,318,255,208,424,311,302.407053211506,266.119109946205,300.558819390209,0,NA,NA,"1411"," General office support workers"
"1414 Receptionists",11.4235,0.4068,3.626,0.69,0.5244,15.3036,387,301.5,167,127,469,129,203.611021576543,161.531487993704,229.614321194603,0,NA,NA,"1414"," Receptionists"
"1415 Personnel clerks",9.8441,0.2507,1.6065,1.215,1.3125,19.5344,289.5,135.5,229,39,477,348,133.115751416982,101.165520562502,118.460325432513,0,NA,NA,"1415"," Personnel clerks"
"1416 Court clerks",10.7114,0.298488888888889,2.32904444444444,0.3741,0.379377777777778,14.0266666666667,428,325,201,163,474,257,267.525421261446,222.327090453115,269.515536784217,0,NA,NA,"1416"," Court clerks"
"1422 Data entry clerks",9.52,1.6588,2.7777,0.5244,1.75,17.9451,406,92.5,233,63,365,206,147.73284664788,112.9158536254,139.731413679154,0,NA,NA,"1422"," Data entry clerks"
"1423 Desktop publishing operators and related occupations",20.496,4.902,4.3976,3.71,8.58,19.1388,46.5,12,20,43,214,85,32.502515125806,25.173491891365,28.9062134578283,0,NA,NA,"1423"," Desktop publishing operators and related occupations"
"1431 Accounting and related clerks",12.2679,0.11,1.608,0.1344,0.5244,17.617,461.5,301.5,152.5,71.5,481.5,346.5,195.274707372897,150.993284439357,179.544511249425,0,NA,NA,"1431"," Accounting and related clerks"
"1432 Payroll clerks",10.9472,0.492,1.2654,0.1344,1.0044,13.356,461.5,194,181,182,459,386,260.78740549647,214.234020857589,244.818817322051,0,NA,NA,"1432"," Payroll clerks"
"1434 Banking, insurance and other financial clerks",10.80885,0.47355,1.693125,0,1.1097,14.3136,475,171,198,158,463,337,246.477630047083,199.134093529245,233.815304149439,0,NA,NA,"1434"," Banking, insurance and other financial clerks"
"1435 Collectors",13.132,0.7638,2.4805,0.75,1.4256,16.039,371,120,117.5,96.5,439.5,234.5,165.909493825096,128.180576149225,156.651364124531,0,NA,NA,"1435"," Collectors"
"1451 Library assistants and clerks",9.9198,0.5125,2.1528,0.5244,0.75,15.6705,406,256,226,111,457,273,235.156233440284,191.62095787294,228.672651616927,0,NA,NA,"1451"," Library assistants and clerks"
"1452 Correspondence, publication and regulatory clerks",8.7278,0.6432,2.3495,0.3125,0.75,16.6495,439.5,256,271,88,449,253,220.322116278336,175.897750551082,214.630539619729,0,NA,NA,"1452"," Correspondence, publication and regulatory clerks"
"1454 Survey interviewers and statistical clerks",13.735,4.5584,2.457,1.3689,5.3436,14.8239,243,23,102,148,224,239,84.7502088735321,64.2534355006825,75.0417017690197,0,NA,NA,"1454"," Survey interviewers and statistical clerks"
"1511 Mail, postal and related workers",3.3003,0.3937,1.1055,0,1.0044,5.3938,475,194,416,373,470,403,355.044006765381,315.573613546838,346.642894296081,0,NA,NA,"1511"," Mail, postal and related workers"
"1512 Letter carriers",3.5638,0.448,1.3756,0,0,2.1402,475,446,404,456,464,378,435.276032773672,419.596036944593,448.598102166674,0,NA,NA,"1512"," Letter carriers"
"1513 Couriers, messengers and door-to-door distributors",4.0734,0.01,1.54,0.5244,0,2.2932,406,446,394,452,483,357,419.794667437806,409.434029752904,434.805078167198,0,NA,NA,"1513"," Couriers, messengers and door-to-door distributors"
"1521 Shippers and receivers",7.7284,0.9842,1.6965,0.93,1.0044,14.008,345.5,194,308,165,422,336,265.416547664242,230.469091064048,254.600418909539,0,NA,NA,"1521"," Shippers and receivers"
"1523 Production logistics co-ordinators",8.7768,5.04,1.0428,1.3125,1.0044,17.8464,262.5,194,269,65,206,407,171.133299677951,151.317954555279,153.329982512213,0,NA,NA,"1523"," Production logistics co-ordinators"
"1524 Purchasing and inventory control workers",11.7495,1.4356,2.3302,0.5244,0.69,16.9054,406,276.5,161,84,385,256,196.851197071196,157.280929951818,188.048926398127,0,NA,NA,"1524"," Purchasing and inventory control workers"
"1525 Dispatchers",13.5566111111111,2.65838888888889,10.5138666666667,1.38333333333333,0.94,18.9847333333333,242,208,107,46,314,15,57.0828530008055,40.8912058394864,117.342318031663,0,NA,NA,"1525"," Dispatchers"
"1526 Transportation route and crew schedulers",11.7216,4.2402,4.29,0.93,0.3125,19.5363,345.5,344.5,164,38,235,87,113.030717878387,87.0329137987665,119.848668345323,0,NA,NA,"1526"," Transportation route and crew schedulers"
"2111 Physicists and astronomers",21.42291875,14.098,5.70754375,5.135625,5.3524625,22.87220625,27,22,16,12,48,60,23.8340427209134,20.4479836449369,21.245196593153,1,"High-Tech",1,"2111"," Physicists and astronomers"
"2112 Chemists",12.7596,12.0262,1.615,2.82,3.71,20.203,75.5,41.5,136,25,62,344,59.3274155776585,55.410279788211,50.8982877989868,0,NA,NA,"2112"," Chemists"
"2113 Geoscientists and oceanographers",14.941,15.21,3.57,1.3125,4.4744,19.6672,262.5,30,78,34,39,132,54.6440202658875,49.3787426284432,48.8840803968683,0,NA,NA,"2113"," Geoscientists and oceanographers"
"2114 Meteorologists and climatologists",20.0384,8.5728,7.7506,0.93,1.125,20.4185,345.5,162.5,24,24,125,34,47.8048996588845,34.8773426786531,51.5789775567227,0,NA,NA,"2114"," Meteorologists and climatologists"
"2121 Biologists and related scientists",12.88352,7.843376,2.642528,2.9348,3.746496,14.982192,67,39,128,140,135,215,90.1813686313889,89.940662600956,80.7715817190145,0,NA,NA,"2121"," Biologists and related scientists"
"2122 Forestry professionals",15.873,9.0792,2.3247,4.24,0.5244,13.4397,34,301.5,60,180,116,259,90.6499411458274,137.597746779044,80.2020749102316,0,NA,NA,"2122"," Forestry professionals"
"2123 Agricultural representatives, consultants and specialists",16.121,8.5749,1.2616,1.4256,1.215,11.9952,237.5,148.5,53,213,124,387,134.376782094245,123.237326835856,118.840352862292,0,NA,NA,"2123"," Agricultural representatives, consultants and specialists"
"2131 Civil engineers",14.448,29.100925,3.33375,6.1,4.635,18.747675,20,28,84,50,3,150,16.211971667215,55.1892947165522,13.7561286722207,1,"High-Tech",1,"2131"," Civil engineers"
"2132 Mechanical engineers",20.43365625,30.01814375,6.1763625,12.37285,7.3823375,21.1453375,1,16,22,18,1,50,5.10837758337472,22.9172236503856,4.32925407925408,1,"High-Tech",1,"2132"," Mechanical engineers"
"2133 Electrical and electronics engineers",26.201125,27.724,7.486575,6.5664,5.0589,21.283825,17,25,6,17,8,35,13.9108280254777,15.1141868512111,12.3903177004539,1,"Digital",1,"2133"," Electrical and electronics engineers"
"2134 Chemical engineers",17.9221333333333,28.6173222222222,2.15755555555556,7.54728888888889,4.7957,19.7991111111111,4,26,40,30,6,272,13.6299980562953,41.0895514532704,11.4536388412619,1,"High-Tech",1,"2134"," Chemical engineers"
"2141 Industrial and manufacturing engineers",13.906475,24.5603,3.63363125,6.8034375,3.0576125,16.571625,14,51,98,89,13,127,32.1973692660358,82.8922937580195,28.0052224190991,0,NA,NA,"2141"," Industrial and manufacturing engineers"
"2142 Metallurgical and materials engineers",17.591,28.2112,3.8335,6.875,3.9856,17.5848,12,36,42,75,7,108,21.8548881306095,55.0850013844554,18.8420566853061,1,"High-Tech",1,"2142"," Metallurgical and materials engineers"
"2143 Mining engineers",12.6765,25.2108,2.5988,7.2,7.86,20.14,9.5,14.5,138.5,26.5,11.5,221.5,20.8492090332066,35.5420949902407,17.6499875119951,1,"High-Tech",1,"2143"," Mining engineers"
"2144 Geological engineers",12.6765,25.2108,2.5988,7.2,7.86,20.14,9.5,14.5,138.5,26.5,11.5,221.5,20.8492090332066,35.5420949902407,17.6499875119951,1,"High-Tech",1,"2144"," Geological engineers"
"2145 Petroleum engineers",17.29,28.68,3.5045,5.0456,2.415,17.7184,31,66.5,46,67,5,135,23.4313766531163,68.7873413180813,20.1034152182751,1,"High-Tech",1,"2145"," Petroleum engineers"
"2146 Aerospace engineers",17.787,29.036,2.9172,12.1875,3.71,25.9616,2,41.5,41,6,4,190,8.23310653763259,20.4675106371802,6.91056910569106,1,"High-Tech",1,"2146"," Aerospace engineers"
"2147 Computer engineers (except software engineers and designers)",31.8472,25.239,11.1034,5.5097,9.7314,28.7555,22,10,2,2,10,13,6.22799648334473,4.82506527415144,5.6056129985229,1,"Digital",1,"2147"," Computer engineers (except software engineers and designers)"
"2148 Other professional engineers, n.e.c.",17.0195892857143,25.8817015306122,5.50905459183674,7.19095,4.42222959183673,18.2324775510204,11,33,47,56,9,62,22.4723051119644,47.8114468225706,19.9106179688704,1,"High-Tech",1,"2148"," Other professional engineers, n.e.c."
"2151 Architects",13.7172,18.2013,4.2228,3.76,2.82,17.372,45,58.5,103,79,28,91,56.5965326579821,80.3347185866183,52.5519233088008,0,NA,NA,"2151"," Architects"
"2152 Landscape architects",15.3186,16.02,3.3417,2.35,0.69,16.7698,106,276.5,73,87,36,149,83.8923340937221,113.806361412094,77.0967523021861,0,NA,NA,"2152"," Landscape architects"
"2153 Urban and land use planners",10.13565,6.156,2.82555,1.2225,1.7914,15.48195,283,89,218,120,182,203,158.606997518646,138.678248421982,151.849258529226,0,NA,NA,"2153"," Urban and land use planners"
"2154 Land surveyors",18.4052,20.169,7.77,2.176875,4.7925,20.7855,118,27,36,20,22,33,31.3064580533527,28.618009478673,30.818163835647,0,NA,NA,"2154"," Land surveyors"
"2161 Mathematicians, statisticians and actuaries",20.0515625,4.45963125,2.032275,1.4701625,9.99453125,23.72325,232,9,23,10,230,285,24.5205105205388,16.9439644532214,20.729976486538,1,"Digital",1,"2161"," Mathematicians, statisticians and actuaries"
"2171 Information systems analysts and consultants",21.8065640625,9.239403125,6.922459375,6.4773828125,8.7529125,22.4373046875,19,11,13,13,107,41,19.4011976047904,16,17.516218721038,1,"Digital",1,"2171"," Information systems analysts and consultants"
"2172 Database analysts and data administrators",25.3015333333333,9.31655555555556,7.46775555555555,6.87493333333333,13.5516666666667,28.3803666666667,13,2,7,3,103,36,7.34929970290426,5.43950995405819,6.33410672853828,1,"Digital",1,"2172"," Database analysts and data administrators"
"2173 Software engineers and designers",32.718,20.20935,12.1539,5.04735,10.3675,27.703125,30,6,1,5,21,9,6.0775715740636,4.3979057591623,5.63547650901078,1,"Digital",1,"2173"," Software engineers and designers"
"2174 Computer programmers and interactive media developers",29.9992,14.4005,4.968,6.545,23.18,29.6505,18,1,3,1,46,69,4.4836552082773,3.1638418079096,3.77669697610489,1,"Digital",1,"2174"," Computer programmers and interactive media developers"
"2175 Web designers and developers",23.67075,9.3347,6.3468,5.6486,12.9053,24.91455,21,4,9,8,102,48,12.3283645676894,9.26957435627956,10.7232995414967,1,"Digital",1,"2175"," Web designers and developers"
"2211 Chemical technologists and technicians",7.9786,3.5532,0.5168,2.9256,0.93,15.7084,69.5,217.5,298,107,267,460,161.007530394767,206.722648429576,142.46580820872,0,NA,NA,"2211"," Chemical technologists and technicians"
"2212 Geological and mineral technologists and technicians",16.046,14.812875,2.7645,1.855,1.855,13.9311,168.5,86,54,168,41,208,85.6077057860392,99.0640433790249,76.5667943801319,0,NA,NA,"2212"," Geological and mineral technologists and technicians"
"2221 Biological technologists and technicians",12.312,2.4156,0.7975,2.5944,3.29,14.924,91,46,150,146,327,439,117.894622812335,108.1824889429,102.837959322839,0,NA,NA,"2221"," Biological technologists and technicians"
"2222 Agricultural and fish products inspectors",9.8549,4.6535,3.1141,1.3125,0.75,13.3227,262.5,256,228,183,219,169,214.934206714232,204.342290421351,226.930615150665,0,NA,NA,"2222"," Agricultural and fish products inspectors"
